student_id,gender,percentage_10,percentage_12,cgpa_sem,basic_aptitude,grade_ICP,grade_OOPS,grade_DSA,grade_DAA,grade_DBMS,grade_OS,grade_CN,grade_IWT,grade_CPMAD,grade_AJ,grade_AWT,communication_skill,aptitude_training_perf,coding_training_perf,national_test_score,amcat_score,num_hackathons,leetcode_solved,github_contrib_score,num_projects,project_depth,num_internships,internship_quality,research_papers,certification_count,attendance_percent,mock_interview_score,personality_score,placement_status
S0489,Female,65.84,74.88,6.95,5,B+,A+,A+,A-,C,C,A,B+,B+,B-,B-,5,3,3,4,61,0,181,3,3,3,0,1,1,1,64,4,5,0
S0490,Female,66.68,87.04,8.07,4,C,B,A,C,B-,A,B-,D,B-,B+,C,3,1,3,0,77,1,261,5,0,1,3,3,0,2,88,1,1,1
S0491,Male,74.33,81.48,6.22,4,A-,B,B,A,C,B-,B+,A+,A+,A-,C,1,4,3,2,55,2,227,9,3,4,1,2,0,6,86,2,2,1
S0492,Female,67.84,83.63,8.73,3,B,A,B-,B,B-,A-,B+,A,A,B,B-,5,2,1,4,87,0,250,6,0,3,1,1,1,9,80,4,4,1
S0493,Male,81.82,75.92,6.23,4,C,A,B,A-,A-,B,B,A,B-,B,B,1,5,4,0,53,2,80,11,4,4,3,1,2,2,71,1,4,1
S0494,Male,89.87,55.33,6.24,4,B-,B+,A-,B+,B-,A,B-,A+,B,A-,C,2,1,5,1,83,1,75,18,3,4,0,1,2,8,74,3,1,1
S0495,Male,69.2,69.65,6.41,4,A,A+,A-,B-,C,A,B,B,A-,B,B,2,2,5,0,75,0,280,9,2,4,2,0,1,1,68,4,5,1
S0496,Male,77.39,84.72,8.41,2,B+,B,B,A,C,A+,A,A+,B-,B,C,5,1,3,3,87,1,201,1,5,1,1,0,1,2,56,2,2,1
S0497,Male,80.0,71.38,6.76,1,A,A,B,A+,B,C,B+,B,A-,A,A+,1,4,3,0,61,1,118,8,1,1,2,1,1,8,51,3,4,1
S0498,Male,79.72,78.04,5.88,3,A-,B-,B,B+,A,B-,D,A+,B,A-,C,1,2,1,0,45,1,251,0,0,4,2,0,1,5,64,2,4,1
S0499,Female,75.76,68.18,6.77,3,A-,B-,A,B+,A+,A+,B+,A,B,A,B+,4,2,1,1,99,0,121,9,5,4,2,0,0,8,71,4,5,0
S0500,Female,82.43,59.64,7.46,2,B-,B,C,B,A,D,C,B-,A,D,A,3,3,5,1,94,0,173,0,1,3,3,2,1,4,95,2,4,1
S0501,Female,79.82,70.52,6.08,1,B+,A,B+,C,C,B,B-,C,A,A+,A,5,1,3,0,42,1,58,1,1,1,0,3,1,3,87,3,4,1
S0502,Male,62.62,75.71,6.12,1,B+,B+,B,A+,B+,B-,B,A-,C,A,B-,1,1,3,4,35,0,54,4,3,4,3,2,2,1,56,3,3,0
S0503,Male,83.69,64.13,10.0,2,D,A-,A,B+,B-,A+,A,C,A,B+,B+,3,5,5,1,41,1,151,16,1,0,0,2,1,0,90,4,1,0
S0504,Female,83.87,69.17,6.47,5,A+,A,A,B,B+,A-,A,B,A,B-,D,5,3,1,3,38,3,151,12,2,1,0,2,1,4,72,4,3,1
S0505,Female,67.37,60.73,7.11,5,B+,B-,B-,D,B,B,B,A-,B+,A-,A,1,3,5,4,88,2,167,5,3,1,2,1,1,0,51,5,4,1
S0506,Male,75.38,85.43,7.06,1,B,B+,A+,C,A+,A,A-,B-,A+,B,A-,2,5,1,5,96,2,147,9,5,0,2,0,1,5,82,3,5,1
S0507,Female,81.83,68.47,6.99,5,A,B-,B+,B,A,B+,B,A,B-,B,A,1,3,1,0,53,2,196,1,0,4,1,1,1,5,67,5,1,1
S0508,Female,72.91,89.43,8.25,5,B,A,B+,B+,A-,A-,B,A,A,B,B+,2,3,1,5,44,1,123,4,1,2,3,2,2,6,93,2,2,0
S0509,Female,85.73,90.34,8.64,5,A,A,B,A,B,A,A,B,B,B-,B,2,4,3,3,92,3,227,18,1,1,1,3,0,8,56,4,2,1
S0510,Female,98.64,71.03,7.13,1,B-,C,A,A-,A,A,B,A-,A,A+,B,4,2,5,3,79,2,193,1,4,4,0,2,0,5,73,1,5,1
S0511,Female,67.14,59.9,6.02,5,A,B+,A,B+,B,C,B+,A,B-,C,A+,4,5,1,4,50,3,78,0,5,0,3,0,2,2,60,2,2,0
S0512,Male,61.19,46.97,9.03,3,A,B+,C,B,A-,A,A,A+,B+,B-,A+,3,4,4,0,30,0,7,7,0,0,3,3,1,7,61,5,3,1
S0513,Female,78.04,54.34,7.39,1,B+,B+,B+,B,B-,A,A-,B,A-,C,A+,5,4,1,3,40,0,54,14,4,1,1,3,2,4,67,3,4,0
S0514,Female,82.22,55.51,9.58,2,A,A,A,B,A+,B+,B-,B,D,B,B-,3,4,1,5,96,1,36,5,0,0,3,0,1,7,86,4,2,1
S0515,Male,72.69,88.54,4.81,5,A,B,A,A-,B,B,A-,A-,A+,B-,A,4,3,1,5,51,0,248,3,1,0,2,0,0,7,50,4,3,1
S0516,Male,89.53,73.39,7.73,4,A-,A+,D,B,A,B,A,B-,B+,A,A-,3,5,2,1,36,2,199,11,1,4,2,2,0,2,50,2,1,1
S0517,Male,61.61,76.68,9.8,1,A-,B+,A,A,B,B,A-,A-,D,A,B+,5,3,4,1,78,1,269,15,2,0,2,0,0,6,76,2,5,1
S0518,Female,81.93,45.35,7.08,2,B+,B+,B,A,A-,A+,A,B,B,A,B-,5,3,3,4,30,0,88,1,3,2,0,3,1,3,58,4,1,1
S0519,Female,68.94,57.62,7.23,3,B+,C,A-,A,B,A-,B+,C,B,A,A+,1,4,5,1,94,0,225,7,2,4,1,0,1,8,50,5,1,0
S0520,Male,92.19,82.64,7.85,2,B+,B+,B-,B-,C,B,A,B-,A+,B,A,3,1,5,2,92,3,159,5,0,4,2,2,2,6,77,3,3,1
S0521,Male,94.93,75.44,6.83,5,B,A,B,A+,A+,C,B-,B+,A+,A,B,4,5,5,0,93,0,121,2,0,1,0,1,1,9,61,4,2,1
S0522,Male,67.33,70.23,7.13,4,A,B+,B+,B-,A+,B,A,B,A+,A+,C,1,5,3,3,55,1,273,0,0,4,0,1,1,1,98,4,3,1
S0523,Female,69.5,78.78,7.09,5,A,A+,A+,A,B,A+,B+,A-,D,B,B,3,4,1,3,46,1,236,7,5,1,1,2,0,0,65,2,2,0
S0524,Female,83.6,91.63,6.75,2,B,A,B-,B+,B,A-,A,B,C,C,A,5,4,4,4,40,0,266,11,0,0,2,3,1,5,98,3,4,1
S0525,Female,71.13,69.35,8.97,1,B-,A+,A-,C,A,A+,C,A,A,B,B+,4,2,5,4,96,0,131,6,3,3,3,1,2,5,56,4,5,0
S0526,Male,74.55,72.83,8.05,4,A,B+,C,B+,B+,B,B+,A-,A,B-,C,3,4,2,3,39,1,181,16,1,2,0,2,2,9,84,2,4,1
S0527,Male,75.25,74.31,7.8,4,A-,A+,B+,A,A+,A+,B-,A,A,B+,B+,5,3,2,1,95,0,192,12,2,2,3,1,0,4,90,1,2,1
S0528,Male,55.8,100.0,8.47,2,B+,B+,B,A,A,A,B,A+,A,B-,A-,5,4,4,4,61,1,109,17,1,0,0,3,1,1,72,4,2,1
S0529,Male,74.86,46.81,7.18,5,B+,C,A+,C,A-,A-,B,B+,A-,B+,A-,3,5,5,2,45,1,213,15,5,3,2,3,0,8,84,1,1,1
S0530,Female,68.1,80.2,6.57,2,B,B,B,A-,B-,B+,B-,B-,B,D,C,3,1,1,4,55,0,239,7,4,4,0,3,0,5,65,3,2,1
S0531,Female,70.07,70.62,6.78,4,A+,A+,A,B+,B+,A-,A,A+,B-,A,B,4,1,5,1,85,1,140,11,2,3,0,0,2,3,97,3,1,1
S0532,Female,89.44,78.8,7.5,2,B,A,A-,B+,B+,B+,B,A,B,B-,B,1,3,1,0,38,1,72,5,5,4,1,3,0,6,91,4,1,1
S0533,Female,62.43,64.11,6.23,4,A+,B,A,A-,B-,B,A,B+,B,B,A,5,1,5,2,34,1,2,1,0,4,1,3,0,8,57,5,5,0
S0534,Male,83.13,71.41,6.9,5,B+,B-,A,A,A,A-,B,B,B,B+,B+,1,4,2,4,36,3,1,6,0,4,3,3,2,7,97,2,2,1
S0535,Female,72.21,80.54,6.88,1,B-,A+,A,B,B,B+,C,A,B,B,A-,1,1,3,0,94,2,209,3,4,3,1,1,0,0,65,2,4,0
S0536,Female,72.2,100.0,10.0,1,B+,B-,A,B,B-,A,C,A+,B+,B-,A,5,4,4,0,41,2,57,19,2,0,1,2,0,2,55,5,3,1
S0537,Female,82.9,81.7,4.17,2,A,B+,B-,A,A,A-,A,B+,A,B-,B-,3,2,1,5,77,3,216,15,3,4,3,2,1,9,85,1,1,1
S0538,Male,78.4,61.82,7.28,4,D,B+,A-,B,A-,B,A-,B-,A,A,A-,5,5,3,3,54,0,256,16,3,0,3,3,1,1,80,3,3,1
S0539,Male,80.71,66.91,9.57,1,B-,C,B,B-,C,B+,A-,A+,B,A,A,1,3,1,1,42,0,112,2,0,4,1,1,1,2,96,4,1,1
S0540,Male,84.68,66.56,7.65,4,B,B,A+,C,D,B,A,A,C,A+,C,4,2,4,3,70,2,70,2,0,0,2,2,1,4,77,2,4,0
S0541,Female,71.69,50.45,8.4,5,A-,B-,B+,A,A,B+,A+,B,B+,A,A,5,1,3,5,39,0,101,13,0,0,0,1,2,5,84,2,1,0
S0542,Female,68.88,68.04,7.62,2,A,A-,B+,A,A+,B-,A-,A,C,A,B,4,3,3,1,69,0,44,13,5,0,2,2,2,2,66,4,5,1
S0543,Male,64.15,80.79,6.7,4,C,B+,C,B-,A,A-,D,A,A+,B,B,3,4,4,5,62,1,143,6,4,1,2,0,1,1,96,4,1,1
S0544,Female,66.75,56.71,4.81,2,B+,B,B-,A,A-,B+,B+,B+,B,B+,C,3,2,4,0,64,0,122,0,4,3,1,3,0,4,79,2,2,0
S0545,Female,100.0,84.58,7.75,4,B-,A,B+,A+,A-,B,B,C,B-,B,B-,4,5,1,4,66,1,272,14,1,4,2,1,0,3,58,2,5,1
S0546,Male,87.45,77.85,6.57,4,A,B+,B,B-,B,A,B+,A,B,B+,B,4,5,3,1,45,0,229,13,4,4,0,1,0,4,72,2,1,1
S0547,Male,61.49,63.19,6.54,5,A,A,A,A,B-,A-,B,B+,C,B+,A,5,2,4,1,62,2,29,3,2,1,2,0,1,9,94,4,1,1
S0548,Female,61.78,70.3,6.9,2,D,A,B+,A-,A,B,C,A-,B+,A,B+,3,2,1,0,82,1,292,3,4,0,3,2,0,3,50,1,3,1
S0549,Male,79.82,91.18,9.59,3,B+,A-,A+,A-,B-,A+,B+,B-,A,B,C,4,2,5,2,64,1,273,10,2,0,2,1,2,3,61,2,1,1
S0550,Female,80.47,80.8,10.0,4,A,B,A,B-,A+,A-,A+,A+,A,B,A+,2,1,4,0,84,1,203,0,3,4,1,3,1,7,66,1,5,1
S0551,Male,80.49,72.11,7.76,4,A,C,A,A,A+,B+,B+,B+,B+,A,B,5,5,3,5,46,0,239,10,1,2,2,0,1,5,95,2,1,1
S0552,Female,72.45,69.15,6.94,1,B+,B+,B,B-,B+,C,D,B-,C,A,A,5,5,5,0,56,2,266,11,4,4,2,3,0,1,82,4,3,1
S0553,Male,73.75,72.92,6.09,2,A+,B,B+,B,A+,B-,A-,D,A+,A,A,2,1,4,1,50,1,59,14,3,4,3,2,1,2,71,5,4,1
S0554,Male,78.28,65.86,8.06,3,B+,A,B,B+,A-,A,B+,B,B,B-,A,3,3,2,0,50,2,234,14,2,1,1,3,0,7,59,1,3,1
S0555,Female,75.86,46.74,9.64,5,A-,C,B+,A,B-,B+,A,A-,B,B,A+,4,5,3,3,46,4,246,3,1,0,0,0,1,0,75,5,3,0
S0556,Male,52.81,96.51,7.2,3,B,B+,A+,A,A,A+,A,A-,A,B,D,4,3,3,0,56,1,153,5,3,3,1,0,0,5,63,2,1,1
S0557,Male,72.7,73.86,4.65,5,A-,B,B,B,B,A,B-,A-,A,A,B-,3,3,1,4,77,1,79,1,2,4,1,1,0,2,74,2,4,0
S0558,Male,66.49,76.78,8.3,3,D,B,B-,A-,A,B,A,B,A-,A,B+,2,3,2,0,73,0,37,8,1,4,2,3,0,8,96,4,5,1
S0559,Female,76.75,71.31,8.68,3,A,A,C,C,A+,A,A,B,A,A+,B,2,5,4,0,65,0,136,7,0,3,1,3,0,9,60,5,5,1
S0560,Female,100.0,63.18,5.6,2,B+,B+,B+,B+,B+,A,A-,B-,A,A+,B+,2,4,2,4,57,1,224,18,4,1,1,2,0,0,68,5,2,0
S0561,Female,78.67,69.77,7.71,1,A+,C,B,B+,B-,C,C,A-,A,A,B-,5,3,4,2,54,0,241,7,0,2,0,1,2,1,92,2,3,0
S0562,Male,71.86,52.81,8.04,3,B,A+,B,A-,A-,B-,A+,B,A,A,B-,4,4,1,2,76,1,210,19,0,1,2,2,2,5,77,3,3,1
S0563,Male,84.22,99.33,7.41,4,D,B,A,B,B,B,B-,C,B,B+,A,1,1,5,2,52,1,45,9,0,4,0,2,0,3,76,3,2,1
S0564,Male,79.83,57.19,6.55,4,B-,C,A,A-,C,B-,A,C,B,A-,B+,5,4,2,3,79,0,171,16,3,1,0,0,2,9,60,5,1,1
S0565,Male,79.2,59.62,8.72,4,B+,A,A+,A,B,B,B-,B,B,A-,B,5,4,3,4,94,0,41,18,0,3,1,0,0,0,71,5,5,0
S0566,Male,81.07,66.72,7.02,1,B+,B-,A,B-,A,A,D,B,B+,B+,C,4,2,4,3,45,1,22,0,5,1,0,1,0,9,74,1,5,1
S0567,Male,95.57,87.46,5.72,3,B-,C,B+,B+,B,B+,A,B+,C,B,B,3,3,2,3,79,0,289,14,0,4,3,2,2,3,79,2,2,1
S0568,Male,63.69,72.17,5.04,5,C,B,D,B+,B+,A-,A,A,B-,B,B-,4,5,4,5,42,2,229,10,3,3,0,3,2,1,68,3,2,0
S0569,Female,79.74,57.17,9.01,5,D,A,A-,B,B,A,A,A,C,A,B-,3,2,2,3,64,1,196,6,4,3,1,3,0,8,88,4,2,0
S0570,Male,65.74,87.05,8.24,2,A-,A,B,B,B+,B-,B,B+,A-,B-,B+,4,4,3,4,61,0,192,15,5,4,1,0,2,6,56,1,4,0
S0571,Male,80.56,80.77,7.61,1,D,A+,B,A,A,B+,A,A,B-,C,B-,5,1,4,1,54,0,153,2,1,4,2,2,1,5,55,3,3,1
S0572,Female,65.81,78.46,6.97,3,A,B-,A,A+,B+,A+,A,B+,B,A,A-,2,5,4,1,72,1,54,11,1,4,1,0,2,8,58,2,5,1
S0573,Male,70.83,80.59,6.87,4,A,B-,A+,B-,B+,A,A,B,A,A+,A-,5,1,5,2,57,3,254,15,4,2,1,0,0,7,67,2,1,1
S0574,Female,72.05,100.0,6.21,1,A+,B,B+,A,B+,A,A-,B+,A,B-,B,5,4,1,3,95,3,14,19,3,4,3,1,1,1,80,2,4,1
S0575,Female,84.76,98.22,6.98,1,A,A-,B,B,B-,B-,A+,A+,B,C,A,1,1,2,2,96,3,180,18,0,1,1,2,2,2,55,3,3,1
S0576,Female,84.18,63.76,4.96,3,B,A+,D,A+,B-,B,B-,A+,A,A+,A,5,2,3,3,62,2,78,1,1,0,2,0,2,6,95,2,4,1
S0577,Male,62.54,91.49,6.62,2,B-,B,A-,A-,B+,B+,B-,A,A,A+,B,5,1,5,2,76,3,10,7,4,2,0,2,2,9,71,4,3,1
S0578,Female,75.55,76.6,7.13,2,B,B,B-,A+,B+,B+,A-,A,B+,B-,A-,5,2,5,0,64,0,57,18,4,2,1,2,2,3,58,2,2,0
S0579,Male,67.9,77.99,8.23,2,B,C,A-,B+,B+,B,B,D,B,A,C,1,3,1,4,93,0,238,10,0,0,2,2,2,5,80,1,1,1
S0580,Male,62.41,51.69,7.45,4,B+,B,B,B,B+,B,B,A,C,C,C,3,5,3,3,41,1,297,10,4,1,1,3,0,8,71,4,2,1
S0581,Male,72.83,69.96,8.45,4,B,B-,B+,A,C,B+,B,A,B+,A,B+,1,1,2,5,82,1,196,1,3,2,0,0,2,6,70,1,5,1
S0582,Female,71.92,62.25,9.12,3,A-,B,A+,A-,B,C,B+,A+,B,B-,B+,2,2,4,3,73,0,160,4,3,2,0,2,1,2,84,1,5,0
S0583,Male,99.27,81.94,8.77,2,B-,B,A+,C,A,C,B+,B,A,A+,B,3,4,1,3,75,2,171,4,5,4,1,1,2,5,78,5,5,1
S0584,Male,79.33,84.85,8.06,3,B,A-,A+,A-,B+,D,B,B,B,A,B+,1,4,4,4,40,2,134,9,1,3,1,1,2,6,70,5,5,1
S0585,Female,61.22,47.11,7.51,2,B,C,A-,B-,B,B,B,A,A-,C,A,2,2,5,0,99,0,225,1,2,2,2,0,0,0,84,2,4,1
S0586,Male,69.35,71.74,6.32,1,B+,B,B,C,B,C,A,C,B-,A,B,2,5,4,1,75,1,268,14,4,1,0,1,0,6,72,4,1,1
S0587,Male,85.21,85.46,8.39,5,B-,A-,A,C,B+,A-,A,B-,A-,A,B,4,3,2,4,88,1,31,17,3,3,1,3,1,4,89,3,1,1
S0588,Male,95.88,69.76,9.52,5,A,A+,B,B-,A,B-,A,A,B+,B-,A,4,3,2,0,88,2,294,11,0,0,1,1,0,6,93,5,5,0
S0589,Male,59.14,80.75,7.91,2,A-,A,A,A,A+,C,B+,B+,A-,A,B-,5,5,4,2,63,1,77,9,0,2,1,0,1,6,72,4,3,0
S0590,Male,56.2,76.21,9.8,3,B,B+,B,C,A,C,A-,B+,B-,A+,B,3,1,4,3,50,0,19,6,2,1,1,2,2,5,67,5,2,0
S0591,Male,93.71,76.1,5.67,4,B+,A,B,B-,A-,B-,B+,A,C,A,A,1,2,1,3,81,0,15,14,2,0,2,3,0,2,72,4,5,0
S0592,Female,78.9,68.74,6.12,2,B-,A,B,B-,A+,A-,A-,B-,A,B,B,5,3,2,1,77,0,157,14,2,4,3,0,2,8,50,2,3,1
S0593,Male,66.32,57.4,8.53,2,A,B+,B+,A+,B-,A,B-,A,B+,B,A,3,5,4,2,48,1,104,11,0,4,2,0,2,4,93,1,1,1
S0594,Male,80.35,58.54,7.82,4,A-,A,A,C,A,A,A+,A-,B,B-,A,4,3,3,0,33,3,213,19,4,3,0,1,0,8,69,5,2,1
S0595,Female,48.64,80.51,9.08,2,B-,B-,B-,B,C,B,B+,A-,B-,B+,B-,1,3,1,2,61,0,73,14,3,0,0,0,0,2,65,1,1,0
S0596,Male,75.03,72.23,7.48,1,B+,B+,A,B,A,A,B+,B+,B+,A-,C,2,1,1,2,57,2,71,2,0,3,3,2,0,6,58,1,1,1
S0597,Female,78.28,70.34,6.46,4,B+,B+,A,A+,A+,B+,A-,B-,A,A-,A,2,3,1,1,87,0,220,15,3,0,2,0,2,4,74,3,4,1
S0598,Male,84.24,66.91,7.24,1,A,A,A,A,B+,B+,A-,A,A-,B-,C,5,2,1,0,70,1,202,18,2,0,3,0,0,6,87,3,2,1
S0599,Male,64.86,68.34,5.66,5,A,A,B,C,A,B,B-,A,B+,B,A,5,5,4,1,62,3,224,6,5,4,3,2,1,7,74,2,4,1
S0600,Male,75.86,84.56,6.15,4,B,A-,B,B+,C,C,A,B,A-,C,A,1,1,5,0,43,1,48,16,1,3,0,0,1,7,87,4,5,1
S0601,Male,65.75,67.98,8.67,4,A,B-,B,A-,A+,B,B-,A,A,C,A+,2,1,3,4,82,2,100,3,4,4,2,2,0,4,56,2,2,1
S0602,Male,77.55,55.91,8.55,3,B-,B,A-,B-,A-,B,B-,A+,A+,A,A,5,5,5,4,71,0,228,14,5,0,1,2,1,4,95,4,3,0
S0603,Male,66.05,80.92,7.94,3,B,A,A,A+,C,B+,B,A-,B,B+,A-,2,2,5,3,65,1,132,8,2,4,1,1,0,7,65,3,1,1
S0604,Male,70.92,69.54,5.43,4,A,B,C,A-,A-,B-,B,A,D,B,C,4,3,4,1,54,2,298,16,2,3,3,0,2,5,84,2,1,1
S0605,Male,65.04,72.38,7.07,5,B,A,B+,A-,A+,A,B,A-,C,A,A,5,3,1,4,81,1,46,0,3,3,2,3,1,5,80,4,4,1
S0606,Male,81.51,91.29,6.03,2,B,D,A-,A,A,A,B+,A,B,A+,A-,3,2,1,5,69,0,186,1,0,1,1,3,1,1,50,3,4,0
S0607,Male,83.58,71.75,8.91,3,A,C,B+,A,B+,C,C,A+,B-,B-,B,5,4,4,2,99,2,196,6,1,4,1,2,1,6,69,4,4,1
S0608,Male,72.65,75.47,6.8,5,A,B+,A,A,A,B,A,B+,A,B+,A,4,5,4,2,91,2,254,13,4,1,2,0,1,9,98,2,2,0
S0609,Male,75.38,57.85,6.2,5,A-,B,A,A,B+,B,A,A+,B,B+,B,1,2,2,4,38,2,18,4,1,0,1,1,1,6,76,5,1,1
S0610,Female,60.51,69.36,7.54,3,B,B-,A-,B,B-,B+,A,C,A+,B+,A-,2,3,1,1,98,0,153,3,2,4,0,1,2,5,50,5,3,0
S0611,Male,72.0,79.31,6.73,2,B,B,A,C,B-,A-,B,A,B,B,A,1,5,3,3,50,0,193,12,1,2,1,1,1,1,86,2,2,0
S0612,Female,74.5,53.34,9.28,3,B+,B,A,B+,A+,B+,A,B,C,A,B,5,5,2,2,82,1,91,9,4,1,0,2,0,4,73,1,1,0
S0613,Female,100.0,74.41,6.62,5,B,C,B-,A,A,A,C,B-,B-,B,A+,3,3,5,3,99,1,130,12,2,3,3,1,1,5,98,5,5,1
S0614,Male,63.88,73.21,5.82,1,B,B+,B+,A,A,B+,A-,A,B+,B+,A,1,2,1,2,30,1,49,11,4,1,2,3,0,3,54,5,5,1
S0615,Female,89.64,72.5,4.92,3,B,B,B+,B-,B+,B+,B-,B,B,B-,A-,3,4,4,0,60,0,225,17,1,4,0,0,0,9,60,5,4,1
S0616,Female,84.97,84.45,7.46,5,B,B-,B,C,A-,B+,A,B-,C,B+,B+,5,5,4,4,74,0,265,10,5,1,1,0,2,5,84,1,4,1
S0617,Male,77.81,76.01,6.83,3,A,B,C,A,B-,B,A,A,A,C,B,3,5,4,1,57,2,183,17,2,3,0,3,1,4,78,3,4,0
S0618,Male,92.59,89.74,5.79,5,B-,B,A,A,B,C,A+,D,B,A-,B+,3,5,1,2,32,1,15,11,2,1,1,2,2,9,72,3,1,1
S0619,Female,78.72,60.08,8.93,2,B,A,B-,B,A,B,A,A+,A,C,B+,4,2,3,4,69,1,292,0,5,1,1,0,1,8,59,1,4,0
S0620,Female,78.89,73.63,8.3,5,B-,A-,B+,B,B,B-,B+,A,B-,B-,B+,1,5,4,3,33,0,99,15,4,2,0,2,1,5,79,1,3,0
S0621,Male,74.47,73.01,7.47,4,B+,A,A,B+,A,B+,C,B,A+,B+,A-,5,3,1,1,99,1,277,13,0,0,1,1,2,0,80,2,3,0
S0622,Male,87.24,59.17,9.14,1,A,B+,A,B,A,B,A-,A,A,A-,C,4,3,5,1,41,0,287,0,2,3,0,2,2,9,73,2,5,0
S0623,Male,85.96,83.48,8.3,5,B+,B+,B+,B,A,A+,B,B,B,A-,C,3,1,2,4,91,0,80,6,4,0,3,3,0,9,63,2,2,1
S0624,Male,68.74,99.9,6.51,3,A-,D,B,C,A,A,A-,B-,A,B,B+,4,5,1,4,77,0,251,18,4,2,3,2,0,0,60,3,1,1
S0625,Female,61.81,71.8,6.25,3,B,B,A,A,B,B+,A+,C,A,B+,A+,4,4,1,4,36,2,179,4,4,4,3,0,0,1,50,4,2,1
S0626,Male,72.97,78.06,8.48,5,B+,B,B+,D,B+,A-,B+,B+,B+,A-,B+,3,1,4,0,86,1,32,16,0,4,3,0,2,1,93,5,4,1
S0627,Male,67.0,73.01,7.98,4,B-,A,B,A-,A,B,A+,C,B-,B,A,5,5,2,0,85,0,119,9,5,2,1,1,1,3,75,2,1,1
S0628,Female,74.36,63.44,7.7,5,B,B-,A-,B,D,B+,B-,A-,A,B,B+,2,5,2,1,96,1,96,3,5,4,2,0,0,9,69,5,4,1
S0629,Male,87.37,50.15,6.48,2,B,B,B-,B+,A-,B-,B,A,B-,A+,A,4,2,4,4,42,0,13,13,3,4,2,3,2,1,51,1,2,1
S0630,Male,70.43,63.53,8.23,4,A,B,B-,B+,A+,C,A-,B+,B-,A+,B,1,2,3,5,81,1,100,5,5,1,0,3,0,7,82,3,5,0
S0631,Female,74.57,55.3,6.59,5,D,A,B+,B,A,A,B,B,B+,A+,A+,3,3,1,5,92,2,224,11,2,1,3,0,1,7,96,2,3,0
S0632,Female,75.58,92.45,7.38,1,B-,B+,C,A-,B+,A-,A,B+,B,A,C,2,1,4,0,70,1,238,19,1,1,3,0,2,1,94,4,3,1
S0633,Male,83.48,70.62,9.24,4,B,B,A+,A,C,B,B,B+,A+,A-,A,4,1,3,1,52,0,85,11,4,2,0,0,2,8,94,3,3,0
S0634,Male,52.53,67.85,6.71,5,A,B+,A+,B+,B+,A,B-,A-,A-,B-,B,3,1,4,2,76,0,29,0,1,4,2,0,1,8,94,1,1,0
S0635,Male,68.93,82.67,5.61,1,B+,C,A-,B+,C,A,B-,B+,A,A-,C,3,3,5,5,94,1,282,11,4,0,2,1,2,8,66,5,4,1
S0636,Male,77.11,58.54,6.24,5,A,B-,B,A,A-,B-,A,C,A,A+,A,4,4,3,4,60,1,63,5,4,3,3,1,2,8,55,3,3,1
S0637,Male,87.0,62.8,8.69,2,B+,C,B,C,A-,D,A,B+,A-,B+,C,1,4,3,0,65,0,288,3,5,4,3,1,2,6,61,5,4,0
S0638,Male,70.08,72.82,7.81,3,A,B,B+,A,B+,B,B+,A,A-,D,A-,3,4,2,1,43,2,79,16,2,2,2,1,0,8,64,2,3,1
S0639,Male,56.23,84.35,7.35,5,B+,C,A,A-,B,B+,C,B,B,A,C,3,1,1,4,66,2,154,9,0,1,3,1,1,7,52,1,2,0
S0640,Male,81.2,78.02,6.89,4,B,B-,A,A,A-,A-,C,A,B+,C,C,4,5,4,1,61,1,164,18,0,3,3,0,0,9,71,4,5,0
S0641,Male,68.65,74.98,8.08,5,A-,A,B-,B+,B-,B+,A-,B-,C,A,A,2,1,4,2,82,2,298,10,1,3,3,2,1,7,87,3,4,1
S0642,Male,63.1,72.94,6.48,5,B+,A-,B-,A,A+,B+,B,A+,A,A,B-,3,5,1,5,57,1,210,0,3,3,2,1,2,6,70,5,1,1
S0643,Male,68.76,76.8,7.87,5,B-,A,B,B+,A-,B+,C,A,A+,B,A,3,2,1,1,94,2,98,4,0,0,3,2,1,1,84,1,3,1
S0644,Male,73.15,74.42,6.62,5,A,A+,B,A,B+,A,A,A+,B+,B+,A,4,3,2,1,76,2,266,13,0,1,3,1,2,1,93,1,2,1
S0645,Male,68.95,59.64,6.42,4,B,A,B+,A+,B,C,B-,A+,A+,B,A+,3,4,1,2,61,2,51,12,5,1,3,2,2,7,92,2,3,1
S0646,Female,52.94,72.55,6.74,4,A,A+,A,B,A,B,A,B,B,B-,A,4,1,5,3,53,1,125,1,3,1,1,0,1,1,76,3,5,1
S0647,Male,83.97,59.12,7.05,5,A+,B,A-,B,A-,B,A,A-,B+,A,B,1,1,2,4,43,1,121,13,0,1,0,0,2,1,55,2,3,0
S0648,Female,87.75,72.97,7.44,3,A,A-,B,A,B+,C,A,B-,B+,B,A-,4,2,3,2,76,4,31,5,2,4,0,3,0,6,60,2,5,0
S0649,Female,81.52,66.23,7.78,5,B,A,B+,A+,B,A,B+,B+,A-,B,B,2,5,1,5,30,0,284,5,2,3,3,0,1,6,66,2,4,1
S0650,Male,63.62,100.0,4.0,4,A-,B,A+,B-,B,A+,B-,A,A-,B-,A,3,4,3,2,48,2,291,0,1,3,2,3,1,0,85,1,5,0
S0651,Male,72.99,71.52,6.53,2,B-,B-,C,A,B,B-,B+,B,A-,A-,C,1,3,2,5,87,1,87,19,5,3,0,2,1,6,80,5,2,0
